"eau_id","cell_id","wmd_id_num","wmd_id","area_km2","x_coord","y_coord"
50,986,2,"Audubon",13116.9944897,-397202.317095882,2802394.198975
51,987,2,"Audubon",13116.9944897,-378688.780264118,2802394.198975
52,1069,2,"Audubon",13116.9944897,-434229.390759412,2783908.98789456
53,1070,2,"Audubon",13116.9944897,-415715.853927647,2783908.98789456
54,1071,2,"Audubon",13116.9944897,-397202.317095882,2783908.98789456
55,1072,2,"Audubon",13116.9944897,-378688.780264118,2783908.98789456
56,1152,2,"Audubon",13116.9944897,-471256.464422941,2765423.77681413
57,1153,2,"Audubon",13116.9944897,-452742.927591177,2765423.77681413
58,1154,2,"Audubon",13116.9944897,-434229.390759412,2765423.77681413
59,1155,2,"Audubon",13116.9944897,-415715.853927647,2765423.77681413
60,1156,2,"Audubon",13116.9944897,-397202.317095882,2765423.77681413
61,1157,2,"Audubon",13116.9944897,-378688.780264118,2765423.77681413
62,1158,2,"Audubon",13116.9944897,-360175.243432353,2765423.77681413
63,1159,2,"Audubon",13116.9944897,-341661.706600588,2765423.77681413
64,1160,2,"Audubon",13116.9944897,-323148.169768824,2765423.77681413
65,1238,2,"Audubon",13116.9944897,-452742.927591177,2746938.5657337
66,1239,2,"Audubon",13116.9944897,-434229.390759412,2746938.5657337
67,1240,2,"Audubon",13116.9944897,-415715.853927647,2746938.5657337
68,1241,2,"Audubon",13116.9944897,-397202.317095882,2746938.5657337
69,1242,2,"Audubon",13116.9944897,-378688.780264118,2746938.5657337
70,1243,2,"Audubon",13116.9944897,-360175.243432353,2746938.5657337
71,1244,2,"Audubon",13116.9944897,-341661.706600588,2746938.5657337
72,1245,2,"Audubon",13116.9944897,-323148.169768824,2746938.5657337
73,1326,2,"Audubon",13116.9944897,-397202.317095882,2728453.35465326
74,1327,2,"Audubon",13116.9944897,-378688.780264118,2728453.35465326
75,1328,2,"Audubon",13116.9944897,-360175.243432353,2728453.35465326
