alignment,scenario,wmd_id,year,wmd_total
current,rcp85_wet,J. Clark Salyer,2080,372902.8518200001
current,rcp85_wet,J. Clark Salyer,2090,354996.08546
current,rcp85_wet,J. Clark Salyer,2100,337089.3191000001
current,rcp85_wet,Kulm,2020,310941.1253999999
current,rcp85_wet,Kulm,2030,334663.3556333334
current,rcp85_wet,Kulm,2040,358385.5858666667
current,rcp85_wet,Kulm,2050,382107.8161
current,rcp85_wet,Kulm,2060,354370.1046
current,rcp85_wet,Kulm,2070,326632.3930999999
current,rcp85_wet,Kulm,2080,298894.6816
current,rcp85_wet,Kulm,2090,271156.97009999986
current,rcp85_wet,Kulm,2100,243419.25860000006
current,rcp85_wet,Lake Andes,2020,297006.4000000001
current,rcp85_wet,Lake Andes,2030,282880.3807000001
current,rcp85_wet,Lake Andes,2040,268754.36139999994
current,rcp85_wet,Lake Andes,2050,254628.34210000015
current,rcp85_wet,Lake Andes,2060,238301.25911999997
current,rcp85_wet,Lake Andes,2070,221974.17613999994
current,rcp85_wet,Lake Andes,2080,205647.09316000008
current,rcp85_wet,Lake Andes,2090,189320.01017999995
current,rcp85_wet,Lake Andes,2100,172992.92719999998
current,rcp85_wet,Litchfield,2020,35323.88878999998
current,rcp85_wet,Litchfield,2030,35618.94209333334
current,rcp85_wet,Litchfield,2040,35913.99539666668
current,rcp85_wet,Litchfield,2050,36209.04869999999
current,rcp85_wet,Litchfield,2060,35073.35785199999
current,rcp85_wet,Litchfield,2070,33937.66700400001
current,rcp85_wet,Litchfield,2080,32801.97615599999
current,rcp85_wet,Litchfield,2090,31666.285308
current,rcp85_wet,Litchfield,2100,30530.594459999997
current,rcp85_wet,Long Lake,2020,227646.6724
current,rcp85_wet,Long Lake,2030,213635.41139999998
current,rcp85_wet,Long Lake,2040,199624.15039999995
current,rcp85_wet,Long Lake,2050,185612.88939999993
current,rcp85_wet,Long Lake,2060,173416.77779999998
current,rcp85_wet,Long Lake,2070,161220.6662
current,rcp85_wet,Long Lake,2080,149024.55460000006
current,rcp85_wet,Long Lake,2090,136828.44299999997
current,rcp85_wet,Long Lake,2100,124632.33140000002
current,rcp85_wet,Madison,2020,164211.01240000007
current,rcp85_wet,Madison,2030,165204.31970000002
current,rcp85_wet,Madison,2040,166197.62700000007
