eau_id,wmd_id,year,rcp,gcm,prop_suitable,abs_abundance,scaled_abundance,trans_prob,cost,eau_row,total_prop_suitable,habitat_share
1,Arrowwood,2090,stationary,stationary,0.120572635312847,377952.1345,2633.665179586726,NA,NA,NA,17.303142871764564,0.006968250577737446
1,Arrowwood,2100,45,dry,0.107441798061229,153350.0694,1026.0400027201003,NA,NA,1,16.05805538328986,0.00669083494213339
1,Arrowwood,2100,45,wet,0.107441798061229,286040.139,1913.847356873892,NA,NA,1,16.05805538328986,0.00669083494213339
1,Arrowwood,2100,85,dry,0.107987967072741,140613.6384,941.6941618894431,NA,NA,1,16.124747893786147,0.0066970328952774124
1,Arrowwood,2100,85,wet,0.107987967072741,277661.8998,1859.510876725821,NA,NA,1,16.124747893786147,0.0066970328952774124
1,Arrowwood,2100,stationary,stationary,0.120572635312847,377952.1345,2633.665179586726,NA,NA,NA,17.303142871764564,0.006968250577737446
2,Arrowwood,2020,baseline,baseline,0.16036869137772,377952.1345,3502.929477169593,NA,NA,NA,17.303142871764564,0.009268182813158827
2,Arrowwood,2030,45,dry,0.16036869137772,325719.4731333333,3075.3407186046957,NA,NA,2,16.98517674696304,0.009441685168592314
2,Arrowwood,2030,45,wet,0.16036869137772,344932.7533333333,3256.7464613090438,NA,NA,2,16.98517674696304,0.009441685168592314
2,Arrowwood,2030,85,dry,0.160371317190276,302184.3961333333,2853.101223610998,NA,NA,2,16.98562576091,0.00944159016851459
2,Arrowwood,2030,85,wet,0.160371317190276,375952.90129999997,3549.5932167386154,NA,NA,2,16.98562576091,0.00944159016851459
2,Arrowwood,2030,stationary,stationary,0.16036869137772,377952.1345,3502.929477169593,NA,NA,NA,17.303142871764564,0.009268182813158827
2,Arrowwood,2040,45,dry,0.158685545529744,273486.81176666665,2611.600726446955,NA,NA,2,16.617549337040817,0.009549274824539324
2,Arrowwood,2040,45,wet,0.158685545529744,311913.37216666667,2978.5465122683145,NA,NA,2,16.617549337040817,0.009549274824539324
2,Arrowwood,2040,85,dry,0.158690797154854,226416.65776666667,2160.4442962562503,NA,NA,2,16.630949463678473,0.009541896420371565
2,Arrowwood,2040,85,wet,0.158690797154854,373953.6681,3568.2271670282066,NA,NA,2,16.630949463678473,0.009541896420371565
2,Arrowwood,2040,stationary,stationary,0.16036869137772,377952.1345,3502.929477169593,NA,NA,NA,17.303142871764564,0.009268182813158827
2,Arrowwood,2050,45,dry,0.157145968034647,221254.1504,2148.5070543149895,NA,NA,2,16.182957173197124,0.009710584187599444
2,Arrowwood,2050,45,wet,0.157145968034647,278893.991,2708.2235790211016,NA,NA,2,16.182957173197124,0.009710584187599444
2,Arrowwood,2050,85,dry,0.157159097097424,150648.9194,1460.8262009234238,NA,NA,2,16.207162862112227,0.009696891333449708
2,Arrowwood,2050,85,wet,0.157159097097424,371954.4349,3606.8017362199935,NA,NA,2,16.207162862112227,0.009696891333449708
2,Arrowwood,2050,stationary,stationary,0.16036869137772,377952.1345,3502.929477169593,NA,NA,NA,17.303142871764564,0.009268182813158827
2,Arrowwood,2060,45,dry,0.157148593847202,207673.3342,2016.1343722577378,NA,NA,2,16.18720106068307,0.009708200525716497
2,Arrowwood,2060,45,wet,0.157148593847202,280323.2206,2721.4340375994616,NA,NA,2,16.18720106068307,0.009708200525716497
2,Arrowwood,2060,85,dry,0.157219490786197,148641.86320000002,1440.0707255615137,NA,NA,2,16.227951604740348,0.009688190759718043
2,Arrowwood,2060,85,wet,0.157219490786197,353095.92788,3420.860705781084,NA,NA,2,16.227951604740348,0.009688190759718043
2,Arrowwood,2060,stationary,stationary,0.16036869137772,377952.1345,3502.929477169593,NA,NA,NA,17.303142871764564,0.009268182813158827
2,Arrowwood,2070,45,dry,0.157148593847202,194092.518,1888.6281104292689,NA,NA,2,16.150011805675206,0.009730555973462453
2,Arrowwood,2070,45,wet,0.157148593847202,281752.4502,2741.6079873312924,NA,NA,2,16.150011805675206,0.009730555973462453
2,Arrowwood,2070,85,dry,0.157219490786197,146634.807,1423.7954157090574,NA,NA,2,16.191827444950256,0.00970980522863891
2,Arrowwood,2070,85,wet,0.157219490786197,334237.42086,3245.380256673212,NA,NA,2,16.191827444950256,0.00970980522863891
2,Arrowwood,2070,stationary,stationary,0.16036869137772,377952.1345,3502.929477169593,NA,NA,NA,17.303142871764564,0.009268182813158827
2,Arrowwood,2080,45,dry,0.157177477785311,180511.7018,1761.380680343966,NA,NA,2,16.10803065815254,0.009757709127885282
2,Arrowwood,2080,45,wet,0.157177477785311,283181.6798,2763.204461834347,NA,NA,2,16.10803065815254,0.009757709127885282
2,Arrowwood,2080,85,dry,0.15727988447497,144627.7508,1406.2069834405838,NA,NA,2,16.176164821798352,0.009722940277106098
